Zip Code,Total cases
75001,23
75006,38
75019,19
75038,50
75039,21
75040,55
75041,27
75042,28
75043,66
75044,15
75048,8
75050,44
75051,37
75052,77
75060,43
75061,57
75062,62
75063,30
75080,24
75081,26
75082,16
75088,14
75089,8
75098,18
75104,62
75115,59
75116,16
75125,-1
75134,29
75137,26
75141,-1
75146,35
75149,57
75150,55
75154,34
75159,17
75172,9
75180,32
75181,19
75182,-1
75201,68
75202,11
75203,66
75204,80
75205,11
75206,55
75207,97
75208,57
75209,40
75210,39
75211,89
75212,64
75214,41
75215,51
75216,136
75217,108
75218,22
75219,167
75220,83
75223,28
75224,48
75225,-1
75226,12
75227,94
75228,116
75229,35
75230,43
75231,115
75232,69
75233,16
75234,56
75235,129
75236,23
75237,57
75238,43
75240,69
75241,86
75243,190
75244,14
75246,20
75247,-1
75248,35
75249,17
75251,8
75253,22
75254,49
75270,0
75390,0
75054,13
76001,20
76002,23
76006,56
76008,-1
76010,81
76011,55
76012,26
76013,33
76014,35
76015,20
76016,16
76017,30
76018,21
76020,9
76021,14
76022,12
76028,23
76034,8
76036,16
76039,25
76040,24
76051,20
76052,8
76053,17
76054,-1
76060,-1
76063,28
76092,-1
76102,36
76103,20
76104,37
76105,28
76106,27
76107,28
76108,26
76109,12
76110,17
76111,22
76112,75
76114,24
76115,13
76116,51
76117,35
76118,13
76119,57
76120,27
76123,27
76126,-1
76127,-1
76129,0
76131,19
76132,12
76133,39
76134,18
76135,11
76137,30
76140,22
76148,9
76155,6
76164,14
76177,6
76179,22
76180,18
76182,8
76244,24
76248,-1
76262,9
